Column,Wavelength,Intensity
0,731.42048071901581,664
1,731.51595572620317,666
2,731.6114293452473,666
3,731.706901574912,659
4,731.802372413961,655
5,731.89784186115776,681
6,731.99330991526608,663
7,732.08877657504934,695
8,732.18424183927164,688
9,732.27970570669618,659
10,732.37516817608662,665
11,732.470629246207,685
12,732.56608891582039,686
13,732.66154718369057,657
14,732.75700404858139,672
15,732.85245950925616,661
16,732.94791356447877,685
17,733.0433662130124,674
18,733.138817453621,719
19,733.234267285068,734
20,733.32971570611687,817
21,733.42516271553154,876
22,733.52060831207518,792
23,733.61605249451156,709
24,733.71149526160411,694
25,733.80693661211649,661
26,733.90237654481234,673
27,733.9978150584551,684
28,734.0932521518082,672
29,734.18868782363541,669
30,734.28412207270014,676
31,734.379554897766,686
32,734.47498629759639,692
33,734.57041627095487,668
34,734.665844816605,657
35,734.76127193331047,694
36,734.85669761983456,683
37,734.95212187494087,666
38,735.04754469739282,755
39,735.14296608595419,907
40,735.238386039388,1119
41,735.3338045564584,1250
42,735.42922163592834,940
43,735.52463727656163,708
44,735.62005147712159,670
45,735.71546423637176,664
46,735.81087555307556,669
47,735.90628542599677,688
48,736.0016938538987,664
49,736.09710083554467,687
50,736.19250636969844,758
51,736.28791045512321,1055
52,736.38331309058265,1481
53,736.47871427484029,1919
54,736.57411400665944,1486
55,736.66951228480366,842
56,736.76490910803636,697
57,736.8603044751211,684
58,736.95569838482129,670
59,737.05109083590025,694
60,737.14648182712187,679
61,737.24187135724924,686
62,737.33725942504589,691
63,737.43264602927536,718
64,737.5280311687012,680
65,737.62341484208662,664
66,737.71879704819514,674
67,737.81417778579021,667
68,737.90955705363569,667
69,738.00493485049458,683
70,738.1003111751304,654
71,738.19568602630659,672
72,738.29105940278691,679
73,738.38643130333446,688
74,738.48180172671277,668
75,738.57717067168562,694
76,738.672538137016,665
77,738.76790412146761,673
78,738.863268623804,695
79,738.9586316427883,657
80,739.05399317718422,663
81,739.14935322575525,682
82,739.24471178726458,723
83,739.340068860476,710
84,739.43542444415266,713
85,739.53077853705815,688
86,739.62613113795612,656
87,739.72148224560976,678
88,739.81683185878273,702
89,739.91217997623824,679
90,740.00752659673992,675
91,740.10287171905122,691
92,740.19821534193557,669
93,740.29355746415649,697
94,740.38889808447743,707
95,740.48423720166181,720
96,740.57957481447318,732
97,740.67491092167506,737
98,740.77024552203068,669
99,740.86557861430367,692
100,740.96091019725759,698
101,741.05624026965575,667
102,741.15156883026168,669
103,741.246895877839,674
104,741.34222141115106,702
105,741.43754542896124,710
106,741.53286793003338,753
107,741.62818891313066,772
108,741.72350837701663,746
109,741.81882632045483,707
110,741.9141427422087,682
111,742.00945764104176,692
112,742.10477101571769,677
113,742.20008286499979,657
114,742.2953931876516,664
115,742.39070198243667,674
116,742.48600924811853,657
117,742.58131498346063,679
118,742.67661918722649,676
119,742.77192185817978,654
120,742.86722299508369,662
121,742.96252259670234,668
122,743.0578206617987,665
123,743.15311718913642,662
124,743.24841217747917,696
125,743.34370562559059,675
126,743.438997532234,675
127,743.534287896173,674
128,743.62957671617141,678
129,743.72486399099239,678
130,743.82014971939975,672
131,743.91543390015693,668
132,744.01071653202769,685
133,744.10599761377546,699
134,744.20127714416378,679
135,744.29655512195632,672
136,744.3918315459166,676
137,744.4871064148083,666
138,744.582379727395,658
139,744.6776514824403,674
140,744.77292167870769,692
141,744.86819031496111,689
142,744.96345738996376,681
143,745.05872290247953,688
