Column,Wavelength,Intensity
0,731.42048071901581,631
1,731.51595572620317,621
2,731.6114293452473,613
3,731.706901574912,646
4,731.802372413961,619
5,731.89784186115776,644
6,731.99330991526608,619
7,732.08877657504934,645
8,732.18424183927164,636
9,732.27970570669618,647
10,732.37516817608662,644
11,732.470629246207,643
12,732.56608891582039,632
13,732.66154718369057,634
14,732.75700404858139,613
15,732.85245950925616,638
16,732.94791356447877,649
17,733.0433662130124,638
18,733.138817453621,647
19,733.234267285068,656
20,733.32971570611687,693
21,733.42516271553154,709
22,733.52060831207518,693
23,733.61605249451156,643
24,733.71149526160411,634
25,733.80693661211649,621
26,733.90237654481234,608
27,733.9978150584551,624
28,734.0932521518082,609
29,734.18868782363541,655
30,734.28412207270014,637
31,734.379554897766,627
32,734.47498629759639,632
33,734.57041627095487,640
34,734.665844816605,623
35,734.76127193331047,639
36,734.85669761983456,632
37,734.95212187494087,622
38,735.04754469739282,642
39,735.14296608595419,724
40,735.238386039388,768
41,735.3338045564584,807
42,735.42922163592834,726
43,735.52463727656163,647
44,735.62005147712159,638
45,735.71546423637176,630
46,735.81087555307556,635
47,735.90628542599677,656
48,736.0016938538987,630
49,736.09710083554467,654
50,736.19250636969844,656
51,736.28791045512321,770
52,736.38331309058265,849
53,736.47871427484029,1043
54,736.57411400665944,873
55,736.66951228480366,676
56,736.76490910803636,653
57,736.8603044751211,624
58,736.95569838482129,635
59,737.05109083590025,626
60,737.14648182712187,631
61,737.24187135724924,629
62,737.33725942504589,657
63,737.43264602927536,653
64,737.5280311687012,631
65,737.62341484208662,637
66,737.71879704819514,637
67,737.81417778579021,628
68,737.90955705363569,630
69,738.00493485049458,663
70,738.1003111751304,629
71,738.19568602630659,622
72,738.29105940278691,618
73,738.38643130333446,655
74,738.48180172671277,615
75,738.57717067168562,629
76,738.672538137016,642
77,738.76790412146761,621
78,738.863268623804,627
79,738.9586316427883,635
80,739.05399317718422,614
81,739.14935322575525,625
82,739.24471178726458,644
83,739.340068860476,674
84,739.43542444415266,631
85,739.53077853705815,605
86,739.62613113795612,655
87,739.72148224560976,635
88,739.81683185878273,646
89,739.91217997623824,623
90,740.00752659673992,631
91,740.10287171905122,634
92,740.19821534193557,625
93,740.29355746415649,651
94,740.38889808447743,621
95,740.48423720166181,655
96,740.57957481447318,648
97,740.67491092167506,651
98,740.77024552203068,627
99,740.86557861430367,633
100,740.96091019725759,632
101,741.05624026965575,622
102,741.15156883026168,613
103,741.246895877839,639
104,741.34222141115106,624
105,741.43754542896124,629
106,741.53286793003338,657
107,741.62818891313066,656
108,741.72350837701663,627
109,741.81882632045483,649
110,741.9141427422087,632
111,742.00945764104176,620
112,742.10477101571769,628
113,742.20008286499979,634
114,742.2953931876516,634
115,742.39070198243667,629
116,742.48600924811853,647
117,742.58131498346063,639
118,742.67661918722649,626
119,742.77192185817978,616
120,742.86722299508369,638
121,742.96252259670234,631
122,743.0578206617987,640
123,743.15311718913642,618
124,743.24841217747917,623
125,743.34370562559059,638
126,743.438997532234,658
127,743.534287896173,631
128,743.62957671617141,610
129,743.72486399099239,653
130,743.82014971939975,654
131,743.91543390015693,666
132,744.01071653202769,619
133,744.10599761377546,651
134,744.20127714416378,628
135,744.29655512195632,645
136,744.3918315459166,620
137,744.4871064148083,621
138,744.582379727395,642
139,744.6776514824403,625
140,744.77292167870769,636
141,744.86819031496111,640
142,744.96345738996376,639
143,745.05872290247953,647
144,745.153986851272,628
145,745.2492492351048,625
146,745.3445100527415,639
147,745.43976930294582,616
148,745.53502698448142,632
149,745.63028309611173,602
150,745.72553763660085,634
151,745.820790604712,613
152,745.91604199920926,647
153,746.01129181885585,639
154,746.10654006241589,619
155,746.20178672865291,645
156,746.29703181633033,650
157,746.39227532421228,638
158,746.48751725106229,637
159,746.582757595644,640
160,746.67799635672122,625
161,746.77323353305781,617
162,746.86846912341719,633
163,746.96370312656325,606
164,747.05893554125976,634
165,747.15416636627049,660
166,747.24939560035921,652
167,747.34462324228957,647
168,747.43984929082535,622
169,747.53507374473054,650
170,747.63029660276868,618
171,747.72551786370377,620
172,747.82073752629935,636
173,747.91595558931954,639
174,748.011172051528,658
175,748.10638691168856,677
176,748.20160016856494,852
177,748.29681182092122,1437
178,748.39202186752107,2337
179,748.48723030712847,2071
180,748.58243713850709,904
181,748.67764236042115,692
182,748.77284597163407,661
183,748.86804797091,647
184,748.96324835701284,637
185,749.05844712870646,655
186,749.15364428475471,667
187,749.24883982392157,691
188,749.344033744971,919
189,749.43922604666693,1353
190,749.5344167277733,1511
191,749.629605787054,889
192,749.724793223273,658
193,749.81997903519436,641
194,749.91516322158191,647
195,750.0103457811997,638
196,750.105526712812,644
197,750.20070601518239,634
198,750.29588368707516,640
199,750.39105972725417,627
200,750.48623413448365,626
201,750.58140690752737,623
202,750.67657804514977,631
203,750.77174754611451,638
204,750.86691540918594,634
205,750.962081633128,639
206,751.057246216705,656
207,751.15240915868071,637
208,751.24757045781951,646
209,751.34273011288531,635
210,751.43788812264245,635
211,751.533044485855,628
212,751.628199201287,622
213,751.72335226770292,627
214,751.81850368386654,632
215,751.91365344854228,626
216,752.00880156049436,636
217,752.10394801848679,631
218,752.199092821284,625
219,752.29423596765014,640
220,752.38937745634939,645
221,752.484517286146,622
222,752.57965545580441,639
223,752.67479196408885,648
224,752.76992680976332,637
225,752.86505999159249,632
226,752.96019150834036,630
227,753.05532135877138,652
228,753.15044954165,623
229,753.24557605574034,643
230,753.340700899807,653
231,753.435824072614,623
232,753.530945572926,612
233,753.6260653995073,633
234,753.72118355112241,655
235,753.81630002653549,638
236,753.9114148245111,625
237,754.00652794381392,620
238,754.101639383208,645
239,754.196749141458,621
240,754.29185721732824,613
241,754.38696360958352,631
242,754.482068316988,624
243,754.57717133830647,626
244,754.67227267230328,608
245,754.767372317743,645
246,754.86247027339016,651
247,754.95756653800936,627
248,755.05266111036519,625
249,755.14775398922234,631
250,755.24284517334513,634
251,755.33793466149837,643
252,755.43302245244672,638
253,755.52810854495488,624
254,755.62319293778717,643
255,755.71827562970861,659
256,755.81335661948356,643
257,755.908435905877,638
258,756.00351348765378,644
259,756.09858936357818,631
260,756.19366353241514,640
261,756.28873599292933,627
262,756.38380674388588,620
263,756.47887578404914,630
264,756.57394311218411,626
265,756.6690087270556,628
266,756.76407262742828,658
267,756.85913481206728,640
268,756.95419527973706,615
269,757.04925402920287,645
270,757.14431105922938,638
271,757.2393663685815,640
272,757.33441995602436,590
273,757.42947182032253,633
274,757.52452196024115,639
275,757.61957037454511,617
276,757.71461706199943,630
277,757.80966202136926,652
278,757.90470525141927,621
279,757.99974675091482,622
280,758.09478651862059,609
281,758.18982455330206,644
282,758.2848608537239,628
283,758.37989541865136,638
284,758.47492824684946,645
285,758.56995933708345,637
286,758.66498868811823,642
287,758.76001629871939,626
288,758.85504216765162,635
289,758.95006629368027,652
290,759.0450886755707,623
291,759.14010931208782,633
292,759.2351282019971,627
293,759.33014534406357,632
294,759.42516073705269,666
295,759.52017437972961,640
296,759.61518627085979,640
297,759.71019640920815,642
298,759.80520479354061,631
299,759.900211422622,627
300,759.99521629521792,627
301,760.09021941009371,631
302,760.1852207660146,633
303,760.28022036174639,641
304,760.37521819605411,629
305,760.47021426770345,630
306,760.56520857545991,639
307,760.66020111808859,633
308,760.75519189435556,643
309,760.85018090302583,641
310,760.94516814286533,646
311,761.0401536126393,641
312,761.13513731111345,628
313,761.23011923705337,675
314,761.32509938922476,919
