Column,Wavelength,Intensity
0,731.42048071901581,649
1,731.51595572620317,601
2,731.6114293452473,632
3,731.706901574912,623
4,731.802372413961,619
5,731.89784186115776,628
6,731.99330991526608,640
7,732.08877657504934,652
8,732.18424183927164,612
9,732.27970570669618,613
10,732.37516817608662,637
11,732.470629246207,615
12,732.56608891582039,619
13,732.66154718369057,616
14,732.75700404858139,622
15,732.85245950925616,630
16,732.94791356447877,618
17,733.0433662130124,633
18,733.138817453621,617
19,733.234267285068,635
20,733.32971570611687,651
21,733.42516271553154,634
22,733.52060831207518,634
23,733.61605249451156,658
24,733.71149526160411,625
25,733.80693661211649,627
26,733.90237654481234,627
27,733.9978150584551,640
28,734.0932521518082,633
29,734.18868782363541,615
30,734.28412207270014,608
31,734.379554897766,610
32,734.47498629759639,622
33,734.57041627095487,614
34,734.665844816605,618
35,734.76127193331047,607
36,734.85669761983456,618
37,734.95212187494087,630
38,735.04754469739282,639
39,735.14296608595419,647
40,735.238386039388,706
41,735.3338045564584,728
42,735.42922163592834,662
43,735.52463727656163,622
44,735.62005147712159,631
45,735.71546423637176,620
46,735.81087555307556,617
47,735.90628542599677,629
48,736.0016938538987,608
49,736.09710083554467,623
50,736.19250636969844,652
51,736.28791045512321,700
52,736.38331309058265,760
53,736.47871427484029,837
54,736.57411400665944,752
55,736.66951228480366,661
56,736.76490910803636,628
57,736.8603044751211,621
58,736.95569838482129,578
59,737.05109083590025,633
60,737.14648182712187,619
61,737.24187135724924,639
62,737.33725942504589,625
63,737.43264602927536,613
64,737.5280311687012,616
65,737.62341484208662,634
66,737.71879704819514,617
67,737.81417778579021,610
68,737.90955705363569,634
69,738.00493485049458,626
70,738.1003111751304,642
71,738.19568602630659,614
72,738.29105940278691,622
73,738.38643130333446,602
74,738.48180172671277,617
75,738.57717067168562,594
76,738.672538137016,621
77,738.76790412146761,609
78,738.863268623804,623
79,738.9586316427883,631
80,739.05399317718422,623
81,739.14935322575525,604
82,739.24471178726458,640
83,739.340068860476,634
84,739.43542444415266,633
85,739.53077853705815,640
86,739.62613113795612,608
87,739.72148224560976,623
88,739.81683185878273,635
89,739.91217997623824,630
90,740.00752659673992,621
91,740.10287171905122,626
92,740.19821534193557,619
93,740.29355746415649,629
94,740.38889808447743,634
95,740.48423720166181,628
96,740.57957481447318,627
97,740.67491092167506,639
98,740.77024552203068,609
99,740.86557861430367,614
100,740.96091019725759,611
101,741.05624026965575,623
102,741.15156883026168,607
103,741.246895877839,613
104,741.34222141115106,636
105,741.43754542896124,621
106,741.53286793003338,635
107,741.62818891313066,618
108,741.72350837701663,616
109,741.81882632045483,609
110,741.9141427422087,613
111,742.00945764104176,616
112,742.10477101571769,625
113,742.20008286499979,619
114,742.2953931876516,600
115,742.39070198243667,628
116,742.48600924811853,622
117,742.58131498346063,643
118,742.67661918722649,595
119,742.77192185817978,619
120,742.86722299508369,639
121,742.96252259670234,613
122,743.0578206617987,658
123,743.15311718913642,639
124,743.24841217747917,623
125,743.34370562559059,605
126,743.438997532234,627
127,743.534287896173,617
128,743.62957671617141,629
129,743.72486399099239,627
130,743.82014971939975,600
131,743.91543390015693,631
132,744.01071653202769,641
133,744.10599761377546,608
134,744.20127714416378,630
135,744.29655512195632,616
136,744.3918315459166,617
137,744.4871064148083,629
138,744.582379727395,623
139,744.6776514824403,626
140,744.77292167870769,607
141,744.86819031496111,642
142,744.96345738996376,617
143,745.05872290247953,623
144,745.153986851272,629
145,745.2492492351048,628
146,745.3445100527415,655
147,745.43976930294582,612
148,745.53502698448142,626
149,745.63028309611173,618
150,745.72553763660085,609
151,745.820790604712,643
152,745.91604199920926,624
153,746.01129181885585,626
154,746.10654006241589,610
155,746.20178672865291,620
156,746.29703181633033,651
157,746.39227532421228,641
158,746.48751725106229,628
159,746.582757595644,628
160,746.67799635672122,624
161,746.77323353305781,621
162,746.86846912341719,647
163,746.96370312656325,627
164,747.05893554125976,624
165,747.15416636627049,606
166,747.24939560035921,642
167,747.34462324228957,623
168,747.43984929082535,622
169,747.53507374473054,635
170,747.63029660276868,610
171,747.72551786370377,632
172,747.82073752629935,611
173,747.91595558931954,621
174,748.011172051528,664
175,748.10638691168856,663
176,748.20160016856494,736
177,748.29681182092122,1083
178,748.39202186752107,1583
179,748.48723030712847,1434
180,748.58243713850709,778
181,748.67764236042115,659
182,748.77284597163407,630
183,748.86804797091,626
184,748.96324835701284,633
185,749.05844712870646,616
186,749.15364428475471,638
187,749.24883982392157,688
188,749.344033744971,802
189,749.43922604666693,1033
190,749.5344167277733,1132
191,749.629605787054,773
192,749.724793223273,661
193,749.81997903519436,621
194,749.91516322158191,621
195,750.0103457811997,614
196,750.105526712812,641
197,750.20070601518239,628
198,750.29588368707516,633
199,750.39105972725417,640
200,750.48623413448365,629
201,750.58140690752737,622
202,750.67657804514977,617
203,750.77174754611451,630
204,750.86691540918594,614
205,750.962081633128,619
206,751.057246216705,612
207,751.15240915868071,624
208,751.24757045781951,649
209,751.34273011288531,631
210,751.43788812264245,623
211,751.533044485855,629
212,751.628199201287,628
213,751.72335226770292,608
214,751.81850368386654,613
215,751.91365344854228,628
216,752.00880156049436,642
217,752.10394801848679,621
218,752.199092821284,618
219,752.29423596765014,633
220,752.38937745634939,634
221,752.484517286146,613
222,752.57965545580441,627
223,752.67479196408885,621
224,752.76992680976332,604
225,752.86505999159249,606
226,752.96019150834036,619
227,753.05532135877138,639
228,753.15044954165,626
229,753.24557605574034,626
230,753.340700899807,637
231,753.435824072614,614
232,753.530945572926,621
233,753.6260653995073,615
234,753.72118355112241,632
235,753.81630002653549,620
236,753.9114148245111,605
237,754.00652794381392,623
238,754.101639383208,607
239,754.196749141458,631
240,754.29185721732824,609
241,754.38696360958352,601
242,754.482068316988,635
243,754.57717133830647,633
244,754.67227267230328,619
245,754.767372317743,626
246,754.86247027339016,623
247,754.95756653800936,598
248,755.05266111036519,623
249,755.14775398922234,621
250,755.24284517334513,633
251,755.33793466149837,617
252,755.43302245244672,604
253,755.52810854495488,614
254,755.62319293778717,614
255,755.71827562970861,623
256,755.81335661948356,633
257,755.908435905877,619
258,756.00351348765378,612
259,756.09858936357818,606
260,756.19366353241514,636
261,756.28873599292933,619
262,756.38380674388588,622
263,756.47887578404914,630
264,756.57394311218411,621
265,756.6690087270556,627
266,756.76407262742828,628
267,756.85913481206728,631
268,756.95419527973706,642
269,757.04925402920287,601
270,757.14431105922938,631
271,757.2393663685815,622
272,757.33441995602436,622
273,757.42947182032253,636
274,757.52452196024115,637
275,757.61957037454511,654
276,757.71461706199943,618
277,757.80966202136926,617
278,757.90470525141927,625
279,757.99974675091482,641
280,758.09478651862059,625
281,758.18982455330206,606
282,758.2848608537239,620
283,758.37989541865136,624
284,758.47492824684946,625
285,758.56995933708345,657
286,758.66498868811823,616
287,758.76001629871939,615
288,758.85504216765162,629
289,758.95006629368027,609
290,759.0450886755707,633
291,759.14010931208782,638
292,759.2351282019971,619
293,759.33014534406357,611
294,759.42516073705269,638
295,759.52017437972961,635
296,759.61518627085979,627
297,759.71019640920815,621
298,759.80520479354061,636
299,759.900211422622,622
300,759.99521629521792,637
301,760.09021941009371,618
302,760.1852207660146,615
303,760.28022036174639,620
304,760.37521819605411,612
305,760.47021426770345,607
306,760.56520857545991,611
307,760.66020111808859,624
308,760.75519189435556,631
309,760.85018090302583,628
310,760.94516814286533,650
311,761.0401536126393,638
312,761.13513731111345,631
313,761.23011923705337,635
314,761.32509938922476,725
315,761.42007776639309,1173
316,761.51505436732407,1536
317,761.61002919078328,994
318,761.70500223553665,668
319,761.79997350034955,625
320,761.894942983988,613
321,761.98991068521752,633
322,762.08487660280389,620
323,762.179840735513,625
324,762.27480308211057,637
325,762.3697636413624,628
326,762.46472241203446,626
327,762.55967939289246,614
328,762.6546345827021,625
329,762.74958798022965,630
330,762.84453958424081,648
331,762.9394893935015,621
332,763.03443740677767,622
333,763.12938362283546,637
334,763.22432804044058,622
335,763.3192706583593,610
336,763.41421147535743,628
337,763.50915049020114,624
338,763.60408770165645,613
339,763.69902310848943,620
340,763.79395670946633,625
341,763.88888850335309,615
342,763.98381848891586,606
343,764.078746664921,615
344,764.17367303013452,636
345,764.26859758332273,625
346,764.36352032325192,622
347,764.458441248688,624
348,764.55336035839764,630
349,764.64827765114694,628
350,764.74319312570219,640
351,764.83810678082989,605
352,764.93301861529619,622
353,765.02792862786748,650
354,765.12283681731037,611
355,765.21774318239113,620
356,765.31264772187615,613
357,765.407550434532,603
358,765.50245131912516,598
