Column,Wavelength,Intensity
0,731.42048071901581,684
1,731.51595572620317,677
2,731.6114293452473,687
3,731.706901574912,658
4,731.802372413961,685
5,731.89784186115776,682
6,731.99330991526608,662
7,732.08877657504934,677
8,732.18424183927164,670
9,732.27970570669618,652
10,732.37516817608662,671
11,732.470629246207,674
12,732.56608891582039,682
13,732.66154718369057,706
14,732.75700404858139,684
15,732.85245950925616,657
16,732.94791356447877,669
17,733.0433662130124,677
18,733.138817453621,690
19,733.234267285068,715
20,733.32971570611687,761
21,733.42516271553154,823
22,733.52060831207518,744
23,733.61605249451156,697
24,733.71149526160411,671
25,733.80693661211649,685
26,733.90237654481234,634
27,733.9978150584551,677
28,734.0932521518082,681
29,734.18868782363541,666
30,734.28412207270014,672
31,734.379554897766,675
32,734.47498629759639,685
33,734.57041627095487,660
34,734.665844816605,663
35,734.76127193331047,674
36,734.85669761983456,674
37,734.95212187494087,704
38,735.04754469739282,749
39,735.14296608595419,831
40,735.238386039388,1004
41,735.3338045564584,1058
42,735.42922163592834,835
43,735.52463727656163,721
44,735.62005147712159,696
45,735.71546423637176,678
46,735.81087555307556,672
47,735.90628542599677,656
48,736.0016938538987,688
49,736.09710083554467,683
50,736.19250636969844,742
51,736.28791045512321,1018
52,736.38331309058265,1483
53,736.47871427484029,1995
54,736.57411400665944,1454
55,736.66951228480366,865
56,736.76490910803636,704
57,736.8603044751211,700
58,736.95569838482129,692
59,737.05109083590025,683
60,737.14648182712187,675
61,737.24187135724924,682
62,737.33725942504589,713
63,737.43264602927536,696
64,737.5280311687012,688
65,737.62341484208662,649
66,737.71879704819514,663
67,737.81417778579021,665
68,737.90955705363569,675
69,738.00493485049458,637
70,738.1003111751304,673
71,738.19568602630659,677
72,738.29105940278691,701
73,738.38643130333446,653
74,738.48180172671277,686
75,738.57717067168562,661
76,738.672538137016,677
77,738.76790412146761,664
78,738.863268623804,668
79,738.9586316427883,663
80,739.05399317718422,683
81,739.14935322575525,684
82,739.24471178726458,706
83,739.340068860476,708
84,739.43542444415266,691
85,739.53077853705815,673
86,739.62613113795612,667
87,739.72148224560976,669
88,739.81683185878273,677
89,739.91217997623824,693
90,740.00752659673992,679
91,740.10287171905122,668
92,740.19821534193557,682
93,740.29355746415649,697
94,740.38889808447743,702
95,740.48423720166181,714
96,740.57957481447318,733
97,740.67491092167506,691
98,740.77024552203068,684
99,740.86557861430367,664
100,740.96091019725759,668
101,741.05624026965575,675
102,741.15156883026168,678
103,741.246895877839,645
104,741.34222141115106,689
105,741.43754542896124,679
106,741.53286793003338,743
107,741.62818891313066,735
108,741.72350837701663,747
109,741.81882632045483,685
110,741.9141427422087,662
111,742.00945764104176,701
112,742.10477101571769,643
113,742.20008286499979,676
114,742.2953931876516,657
115,742.39070198243667,687
116,742.48600924811853,685
117,742.58131498346063,702
118,742.67661918722649,668
119,742.77192185817978,665
120,742.86722299508369,664
121,742.96252259670234,675
122,743.0578206617987,661
123,743.15311718913642,682
124,743.24841217747917,686
125,743.34370562559059,675
126,743.438997532234,682
127,743.534287896173,676
128,743.62957671617141,687
129,743.72486399099239,687
130,743.82014971939975,683
131,743.91543390015693,696
132,744.01071653202769,674
133,744.10599761377546,689
134,744.20127714416378,678
135,744.29655512195632,693
136,744.3918315459166,693
137,744.4871064148083,682
138,744.582379727395,653
139,744.6776514824403,701
140,744.77292167870769,681
141,744.86819031496111,686
142,744.96345738996376,686
143,745.05872290247953,657
144,745.153986851272,685
145,745.2492492351048,670
146,745.3445100527415,669
147,745.43976930294582,676
148,745.53502698448142,668
149,745.63028309611173,715
150,745.72553763660085,683
151,745.820790604712,685
152,745.91604199920926,671
153,746.01129181885585,655
154,746.10654006241589,677
155,746.20178672865291,686
156,746.29703181633033,685
157,746.39227532421228,723
158,746.48751725106229,757
159,746.582757595644,720
160,746.67799635672122,662
161,746.77323353305781,712
162,746.86846912341719,673
163,746.96370312656325,685
164,747.05893554125976,675
165,747.15416636627049,680
166,747.24939560035921,681
167,747.34462324228957,699
168,747.43984929082535,658
169,747.53507374473054,690
170,747.63029660276868,666
171,747.72551786370377,684
172,747.82073752629935,667
173,747.91595558931954,695
174,748.011172051528,676
175,748.10638691168856,797
176,748.20160016856494,1260
177,748.29681182092122,2772
178,748.39202186752107,5131
179,748.48723030712847,4356
180,748.58243713850709,1461
181,748.67764236042115,843
182,748.77284597163407,712
183,748.86804797091,708
184,748.96324835701284,717
185,749.05844712870646,716
186,749.15364428475471,732
187,749.24883982392157,870
188,749.344033744971,1565
189,749.43922604666693,3060
190,749.5344167277733,3395
191,749.629605787054,1457
192,749.724793223273,817
193,749.81997903519436,722
194,749.91516322158191,683
195,750.0103457811997,666
196,750.105526712812,679
197,750.20070601518239,683
198,750.29588368707516,671
199,750.39105972725417,675
200,750.48623413448365,687
201,750.58140690752737,677
202,750.67657804514977,665
203,750.77174754611451,691
204,750.86691540918594,694
205,750.962081633128,685
206,751.057246216705,681
207,751.15240915868071,700
208,751.24757045781951,696
209,751.34273011288531,703
210,751.43788812264245,689
211,751.533044485855,697
212,751.628199201287,684
213,751.72335226770292,685
214,751.81850368386654,690
215,751.91365344854228,682
216,752.00880156049436,690
217,752.10394801848679,689
218,752.199092821284,661
219,752.29423596765014,683
220,752.38937745634939,725
221,752.484517286146,678
222,752.57965545580441,708
223,752.67479196408885,700
224,752.76992680976332,676
225,752.86505999159249,688
226,752.96019150834036,647
227,753.05532135877138,685
228,753.15044954165,657
229,753.24557605574034,682
230,753.340700899807,684
231,753.435824072614,696
232,753.530945572926,671
233,753.6260653995073,683
234,753.72118355112241,693
235,753.81630002653549,688
236,753.9114148245111,670
237,754.00652794381392,669
238,754.101639383208,695
239,754.196749141458,698
240,754.29185721732824,695
241,754.38696360958352,661
242,754.482068316988,697
243,754.57717133830647,704
244,754.67227267230328,681
245,754.767372317743,697
246,754.86247027339016,685
247,754.95756653800936,665
248,755.05266111036519,683
249,755.14775398922234,674
250,755.24284517334513,691
251,755.33793466149837,666
252,755.43302245244672,702
253,755.52810854495488,691
254,755.62319293778717,685
255,755.71827562970861,683
256,755.81335661948356,694
257,755.908435905877,687
258,756.00351348765378,694
259,756.09858936357818,683
260,756.19366353241514,675
261,756.28873599292933,682
262,756.38380674388588,679
263,756.47887578404914,686
264,756.57394311218411,715
265,756.6690087270556,721
266,756.76407262742828,675
267,756.85913481206728,678
