Column,Wavelength,Intensity
0,583.18022984128947,730
1,583.27766153356856,739
2,583.37509214961233,740
3,583.472521688174,747
4,583.56995014800725,744
5,583.66737752786537,732
6,583.76480382650186,739
7,583.86222904267,754
8,583.95965317512332,739
9,584.05707622261514,735
10,584.15449818389857,744
11,584.25191905772726,744
12,584.34933884285442,744
13,584.44675753803324,741
14,584.54417514201691,732
15,584.64159165355909,746
16,584.73900707141252,738
17,584.83642139433084,751
18,584.93383462106692,742
19,585.03124675037418,734
20,585.1286577810057,740
21,585.22606771171479,733
22,585.32347654125431,742
23,585.42088426837768,755
24,585.51829089183786,739
25,585.615696410388,725
26,585.71310082278114,740
27,585.81050412777029,738
28,585.90790632410869,732
29,586.00530741054922,733
30,586.10270738584506,751
31,586.200106248749,748
32,586.29750399801412,741
33,586.39490063239339,739
34,586.49229615063985,737
35,586.58969055150635,741
36,586.68708383374587,736
37,586.78447599611138,728
38,586.88186703735562,736
39,586.97925695623167,729
40,587.07664575149215,725
41,587.17403342189027,723
42,587.27141996617854,723
43,587.36880538311,720
44,587.46618967143741,710
45,587.5635728299136,698
46,587.66095485729113,708
47,587.75833575232309,695
48,587.85571551376211,697
49,587.95309414036092,684
50,588.05047163087227,682
51,588.14784798404878,682
52,588.24522319864332,695
53,588.34259727340861,684
54,588.43997020709708,684
55,588.53734199846156,690
56,588.6347126462548,695
57,588.73208214922931,699
58,588.82945050613762,701
59,588.92681771573245,697
60,589.02418377676645,711
61,589.12154868799212,700
62,589.21891244816209,695
63,589.316275056029,699
64,589.41363651034521,696
65,589.51099680986329,709
66,589.608355953336,700
67,589.70571393951536,700
68,589.80307076715428,709
69,589.90042643500522,700
70,589.99778094182057,703
71,590.09513428635273,707
72,590.19248646735423,696
73,590.28983748357746,697
74,590.38718733377493,707
75,590.48453601669894,699
76,590.581883531102,690
77,590.67922987573627,702
78,590.77657504935462,703
79,590.87391905070888,697
80,590.97126187855167,693
81,591.06860353163529,701
82,591.16594400871213,692
83,591.26328330853448,698
84,591.36062142985452,688
85,591.45795837142464,686
86,591.55529413199724,705
87,591.65262871032451,701
88,591.7499621051586,682
89,591.84729431525193,688
90,591.94462533935666,687
91,592.041955176225,689
92,592.13928382460938,691
93,592.23661128326171,696
94,592.33393755093437,685
95,592.43126262637963,686
96,592.52858650834946,679
97,592.62590919559625,688
98,592.72323068687183,675
99,592.82055098092883,680
100,592.917870076519,673
101,593.01518797239453,666
102,593.11250466730769,669
103,593.20982016001062,659
104,593.30713444925516,658
105,593.40444753379359,658
106,593.50175941237808,652
107,593.59907008376047,652
108,593.696379546693,650
109,593.79368779992774,640
110,593.89099484221651,645
111,593.98830067231177,644
112,594.0856052889651,647
113,594.1829086909288,641
114,594.2802108769547,646
115,594.37751184579486,646
116,594.47481159620145,644
117,594.57211012692619,641
118,594.66940743672137,651
119,594.76670352433848,647
120,594.86399838852981,643
121,594.96129202804752,646
122,595.058584441643,651
123,595.15587562806854,648
124,595.25316558607608,648
125,595.35045431441756,660
126,595.44774181184459,653
