Column,Wavelength,Intensity
0,731.42048071901581,694
1,731.51595572620317,642
2,731.6114293452473,678
3,731.706901574912,677
4,731.802372413961,675
5,731.89784186115776,653
6,731.99330991526608,670
7,732.08877657504934,679
8,732.18424183927164,672
9,732.27970570669618,682
10,732.37516817608662,659
11,732.470629246207,694
12,732.56608891582039,677
13,732.66154718369057,660
14,732.75700404858139,668
15,732.85245950925616,665
16,732.94791356447877,649
17,733.0433662130124,660
18,733.138817453621,686
19,733.234267285068,764
20,733.32971570611687,814
21,733.42516271553154,885
22,733.52060831207518,808
23,733.61605249451156,702
24,733.71149526160411,654
25,733.80693661211649,689
26,733.90237654481234,682
27,733.9978150584551,682
28,734.0932521518082,677
29,734.18868782363541,660
30,734.28412207270014,653
31,734.379554897766,697
32,734.47498629759639,677
33,734.57041627095487,679
34,734.665844816605,691
35,734.76127193331047,685
36,734.85669761983456,705
37,734.95212187494087,693
38,735.04754469739282,759
39,735.14296608595419,893
40,735.238386039388,1085
41,735.3338045564584,1205
42,735.42922163592834,879
43,735.52463727656163,694
44,735.62005147712159,697
45,735.71546423637176,651
46,735.81087555307556,646
47,735.90628542599677,671
48,736.0016938538987,697
49,736.09710083554467,685
50,736.19250636969844,752
51,736.28791045512321,1050
52,736.38331309058265,1451
53,736.47871427484029,1974
54,736.57411400665944,1504
55,736.66951228480366,842
56,736.76490910803636,694
57,736.8603044751211,683
58,736.95569838482129,671
59,737.05109083590025,671
60,737.14648182712187,687
61,737.24187135724924,674
62,737.33725942504589,716
63,737.43264602927536,719
64,737.5280311687012,692
65,737.62341484208662,667
66,737.71879704819514,691
67,737.81417778579021,655
68,737.90955705363569,673
69,738.00493485049458,673
70,738.1003111751304,689
71,738.19568602630659,682
72,738.29105940278691,680
73,738.38643130333446,682
74,738.48180172671277,681
75,738.57717067168562,676
76,738.672538137016,674
77,738.76790412146761,672
78,738.863268623804,681
79,738.9586316427883,667
80,739.05399317718422,682
81,739.14935322575525,683
82,739.24471178726458,733
83,739.340068860476,726
84,739.43542444415266,690
85,739.53077853705815,685
86,739.62613113795612,686
87,739.72148224560976,675
88,739.81683185878273,652
89,739.91217997623824,670
90,740.00752659673992,683
91,740.10287171905122,679
92,740.19821534193557,690
93,740.29355746415649,682
94,740.38889808447743,684
95,740.48423720166181,712
96,740.57957481447318,738
97,740.67491092167506,719
98,740.77024552203068,688
99,740.86557861430367,653
100,740.96091019725759,671
101,741.05624026965575,664
102,741.15156883026168,707
103,741.246895877839,670
104,741.34222141115106,676
105,741.43754542896124,713
106,741.53286793003338,760
107,741.62818891313066,766
108,741.72350837701663,739
109,741.81882632045483,691
110,741.9141427422087,688
111,742.00945764104176,689
112,742.10477101571769,660
113,742.20008286499979,675
114,742.2953931876516,666
115,742.39070198243667,674
116,742.48600924811853,675
117,742.58131498346063,683
118,742.67661918722649,649
119,742.77192185817978,685
120,742.86722299508369,652
121,742.96252259670234,663
122,743.0578206617987,695
123,743.15311718913642,672
124,743.24841217747917,694
125,743.34370562559059,686
126,743.438997532234,690
127,743.534287896173,682
128,743.62957671617141,681
129,743.72486399099239,698
130,743.82014971939975,690
131,743.91543390015693,682
132,744.01071653202769,687
133,744.10599761377546,671
134,744.20127714416378,676
135,744.29655512195632,671
136,744.3918315459166,703
137,744.4871064148083,653
138,744.582379727395,678
139,744.6776514824403,672
140,744.77292167870769,681
141,744.86819031496111,680
142,744.96345738996376,695
143,745.05872290247953,693
144,745.153986851272,681
145,745.2492492351048,695
146,745.3445100527415,689
147,745.43976930294582,674
148,745.53502698448142,684
149,745.63028309611173,662
150,745.72553763660085,670
151,745.820790604712,683
152,745.91604199920926,674
153,746.01129181885585,686
154,746.10654006241589,674
155,746.20178672865291,678
156,746.29703181633033,705
157,746.39227532421228,735
158,746.48751725106229,770
159,746.582757595644,717
160,746.67799635672122,683
161,746.77323353305781,705
162,746.86846912341719,676
163,746.96370312656325,665
164,747.05893554125976,682
165,747.15416636627049,701
166,747.24939560035921,654
167,747.34462324228957,683
168,747.43984929082535,670
169,747.53507374473054,668
170,747.63029660276868,701
171,747.72551786370377,696
172,747.82073752629935,703
173,747.91595558931954,685
174,748.011172051528,717
175,748.10638691168856,806
176,748.20160016856494,1468
177,748.29681182092122,3204
178,748.39202186752107,6237
179,748.48723030712847,4988
180,748.58243713850709,1636
181,748.67764236042115,858
182,748.77284597163407,729
183,748.86804797091,697
184,748.96324835701284,757
185,749.05844712870646,752
186,749.15364428475471,769
187,749.24883982392157,903
188,749.344033744971,1679
189,749.43922604666693,3095
190,749.5344167277733,3549
191,749.629605787054,1459
192,749.724793223273,831
193,749.81997903519436,705
194,749.91516322158191,686
195,750.0103457811997,689
196,750.105526712812,668
197,750.20070601518239,671
198,750.29588368707516,674
199,750.39105972725417,676
200,750.48623413448365,691
201,750.58140690752737,679
202,750.67657804514977,684
203,750.77174754611451,693
204,750.86691540918594,697
205,750.962081633128,676
206,751.057246216705,715
207,751.15240915868071,685
208,751.24757045781951,668
209,751.34273011288531,702
210,751.43788812264245,681
211,751.533044485855,684
212,751.628199201287,665
213,751.72335226770292,672
214,751.81850368386654,683
215,751.91365344854228,682
216,752.00880156049436,695
217,752.10394801848679,698
218,752.199092821284,682
219,752.29423596765014,708
220,752.38937745634939,681
221,752.484517286146,682
222,752.57965545580441,670
223,752.67479196408885,695
224,752.76992680976332,726
225,752.86505999159249,679
226,752.96019150834036,701
227,753.05532135877138,681
228,753.15044954165,690
229,753.24557605574034,691
230,753.340700899807,682
231,753.435824072614,689
232,753.530945572926,685
233,753.6260653995073,707
234,753.72118355112241,710
235,753.81630002653549,667
236,753.9114148245111,696
237,754.00652794381392,686
238,754.101639383208,691
239,754.196749141458,681
240,754.29185721732824,684
241,754.38696360958352,681
242,754.482068316988,683
243,754.57717133830647,679
244,754.67227267230328,704
245,754.767372317743,690
246,754.86247027339016,677
247,754.95756653800936,698
248,755.05266111036519,689
249,755.14775398922234,690
250,755.24284517334513,699
251,755.33793466149837,697
252,755.43302245244672,684
253,755.52810854495488,692
254,755.62319293778717,685
255,755.71827562970861,693
256,755.81335661948356,675
257,755.908435905877,697
258,756.00351348765378,697
259,756.09858936357818,688
260,756.19366353241514,684
261,756.28873599292933,696
262,756.38380674388588,700
263,756.47887578404914,704
264,756.57394311218411,706
265,756.6690087270556,703
266,756.76407262742828,687
267,756.85913481206728,684
268,756.95419527973706,707
269,757.04925402920287,673
270,757.14431105922938,674
271,757.2393663685815,689
272,757.33441995602436,692
273,757.42947182032253,687
274,757.52452196024115,678
275,757.61957037454511,677
276,757.71461706199943,693
277,757.80966202136926,680
278,757.90470525141927,696
279,757.99974675091482,698
280,758.09478651862059,678
281,758.18982455330206,700
282,758.2848608537239,695
283,758.37989541865136,696
284,758.47492824684946,700
285,758.56995933708345,704
286,758.66498868811823,698
287,758.76001629871939,699
288,758.85504216765162,696
289,758.95006629368027,689
290,759.0450886755707,685
291,759.14010931208782,703
292,759.2351282019971,690
293,759.33014534406357,681
294,759.42516073705269,691
295,759.52017437972961,695
296,759.61518627085979,697
297,759.71019640920815,711
298,759.80520479354061,733
299,759.900211422622,693
300,759.99521629521792,673
301,760.09021941009371,702
302,760.1852207660146,707
303,760.28022036174639,719
304,760.37521819605411,684
305,760.47021426770345,689
306,760.56520857545991,708
307,760.66020111808859,699
308,760.75519189435556,717
309,760.85018090302583,725
310,760.94516814286533,705
311,761.0401536126393,719
312,761.13513731111345,724
313,761.23011923705337,850
314,761.32509938922476,1600
315,761.42007776639309,4241
316,761.51505436732407,6201
317,761.61002919078328,2831
318,761.70500223553665,1030
319,761.79997350034955,769
320,761.894942983988,694
321,761.98991068521752,687
322,762.08487660280389,692
323,762.179840735513,681
324,762.27480308211057,695
325,762.3697636413624,698
326,762.46472241203446,693
327,762.55967939289246,722
328,762.6546345827021,697
329,762.74958798022965,683
330,762.84453958424081,697
331,762.9394893935015,699
332,763.03443740677767,696
333,763.12938362283546,698
334,763.22432804044058,694
335,763.3192706583593,672
336,763.41421147535743,693
337,763.50915049020114,692
338,763.60408770165645,688
339,763.69902310848943,691
340,763.79395670946633,688
341,763.88888850335309,723
342,763.98381848891586,695
343,764.078746664921,702
344,764.17367303013452,685
345,764.26859758332273,691
346,764.36352032325192,711
347,764.458441248688,730
348,764.55336035839764,712
349,764.64827765114694,707
350,764.74319312570219,731
351,764.83810678082989,715
352,764.93301861529619,753
353,765.02792862786748,721
354,765.12283681731037,702
355,765.21774318239113,692
356,765.31264772187615,699
357,765.407550434532,693
358,765.50245131912516,706
359,765.59735037442215,693
360,765.69224759918927,724
361,765.78714299219325,679
362,765.8820365522007,694
363,765.97692827797823,695
364,766.07181816829222,710
365,766.16670622190952,700
366,766.26159243759673,700
367,766.3564768141207,712
368,766.4513593502478,689
369,766.54624004474488,690
370,766.64111889637888,706
371,766.73599590391632,726
372,766.830871066124,689
373,766.92574438176894,703
374,767.02061584961791,737
375,767.11548546843767,700
376,767.210353236995,706
377,767.30521915405711,727
378,767.40008321839082,695
379,767.494945428763,685
380,767.58980578394073,701
381,767.68466428269085,698
382,767.77952092378052,674
383,767.87437570597672,701
384,767.96922862804661,683
385,768.06407968875715,701
386,768.15892888687563,702
387,768.25377622116889,723
388,768.34862169040446,726
389,768.44346529334939,697
390,768.53830702877076,707
391,768.63314689543586,701
392,768.72798489211209,693
393,768.82282101756675,714
394,768.91765527056691,696
395,769.01248764988009,713
396,769.10731815427346,693
397,769.20214678251477,728
398,769.296973533371,696
399,769.39179840561,725
400,769.48662139799876,720
401,769.58144250930513,731
402,769.67626173829649,688
403,769.77107908374023,703
404,769.86589454440423,707
405,769.96070811905588,715
406,770.05551980646271,715
407,770.15032960539259,846
408,770.24513751461291,1497
409,770.33994353289143,2805
410,770.434747658996,2195
411,770.52954989169427,1043
412,770.62435022975387,750
413,770.71914867194278,709
414,770.81394521702862,730
415,770.90873986377949,708
416,771.003532610963,720
417,771.09832345734719,726
418,771.1931124017,699
419,771.28789944278924,728
420,771.382684579383,718
421,771.4774678102491,707
422,771.57224913415575,680
423,771.66702854987091,700
424,771.76180605616253,698
425,771.856581651799,671
426,771.95135533554833,736
427,772.04612710617857,695
428,772.1408969624581,699
429,772.23566490315477,725
430,772.33043092703724,699
431,772.42519503287349,691
432,772.519957219432,705
433,772.61471748548081,692
434,772.70947582978863,725
435,772.80423225112349,708
436,772.89898674825406,728
437,772.99373931994865,699
438,773.08848996497568,694
439,773.18323868210359,708
440,773.27798547010116,713
441,773.37273032773646,703
442,773.46747325377862,684
443,773.56221424699584,708
444,773.65695330615688,695
445,773.75169043003029,710
446,773.84642561738508,726
447,773.94115886698944,701
448,774.03589017761249,703
449,774.13061954802288,689
450,774.22534697698927,703
451,774.32007246328078,685
452,774.414796005666,699
453,774.509517602914,694
454,774.60423725379349,717
455,774.69895495707362,701
456,774.79367071152308,707
457,774.8883845159113,703
458,774.98309636900683,689
459,775.0778062695789,698
460,775.17251421639685,710
461,775.26722020822945,705
462,775.361924243846,689
463,775.45662632201561,694
464,775.55132644150751,740
465,775.646024601091,726
466,775.74072079953521,675
467,775.83541503560957,698
468,775.93010730808328,717
469,776.02479761572579,712
470,776.11948595730644,722
471,776.21417233159468,711
472,776.30885673735975,698
473,776.40353917337154,719
474,776.49821963839918,711
475,776.59289813121234,722
476,776.68757465058059,720
477,776.78224919527349,705
478,776.87692176406074,729
479,776.97159235571189,733
480,777.06626096899663,717
481,777.16092760268486,721
482,777.25559225554628,710
483,777.35025492635043,709
484,777.44491561386735,681
485,777.53957431686683,718
486,777.63423103411878,713
487,777.728885764393,717
488,777.82353850645961,703
489,777.91818925908842,690
490,778.01283802104945,722
491,778.10748479111282,699
492,778.20212956804858,719
493,778.29677235062684,695
494,778.39141313761763,714
495,778.4860519277911,718
496,778.58068871991759,710
497,778.67532351276725,696
498,778.76995630511021,718
499,778.86458709571707,713
500,778.95921588335784,729
501,779.05384266680312,707
502,779.14846744482327,710
503,779.24309021618842,718
504,779.3377109796694,701
505,779.43232973403644,727
506,779.52694647806027,696
507,779.62156121051135,710
508,779.71617393016015,738
509,779.8107846357774,715
510,779.90539332613378,714
511,779.99999999999989,724
512,780.09460465614654,716
513,780.18920729334445,704
514,780.28380791036454,722
515,780.3784065059773,753
516,780.47300307895387,724
517,780.567597628065,719
518,780.66219015208185,727
519,780.756780649775,698
520,780.8513691199156,714
521,780.94595556127479,719
522,781.04053997262361,718
523,781.135122352733,718
524,781.22970270037422,712
525,781.32428101431833,725
526,781.4188572933366,743
527,781.5134315362003,703
528,781.60800374168059,722
529,781.70257390854886,717
530,781.79714203557637,695
531,781.89170812153452,741
532,781.9862721651948,715
533,782.0808341653285,723
534,782.17539412070721,701
535,782.26995203010244,745
536,782.3645078922857,708
537,782.45906170602848,719
538,782.55361347010239,718
539,782.64816318327939,735
540,782.74271084433087,721
541,782.83725645202867,709
542,782.93180000514451,753
543,783.02634150245024,709
544,783.12088094271758,736
545,783.21541832471848,744
546,783.30995364722469,723
547,783.4044869090086,751
548,783.49901810884171,740
549,783.5935472454961,731
550,783.688074317744,748
551,783.78259932435742,723
552,783.87712226410849,702
553,783.97164313576923,731
554,784.066161938112,742
555,784.16067866990909,733
556,784.25519332993258,718
557,784.3497059169548,744
558,784.44421642974828,716
559,784.53872486708519,751
560,784.63323122773807,745
561,784.72773551047919,754
562,784.82223771408121,722
563,784.91673783731676,746
564,785.01123587895825,726
565,785.10573183777831,718
566,785.20022571254947,739
567,785.29471750204459,725
568,785.38920720503631,713
569,785.48369482029727,729
570,785.57818034660056,717
571,785.67266378271881,728
572,785.76714512742478,709
573,785.86162437949167,716
574,785.95610153769212,730
575,786.05057660079922,735
576,786.14504956758617,719
577,786.23952043682584,736
578,786.33398920729132,721
579,786.42845587775594,727
580,786.52292044699254,737
581,786.61738291377458,737
582,786.71184327687524,725
583,786.80630153506786,734
584,786.90075768712575,779
585,786.99521173182222,839
586,787.089663667931,798
587,787.184113494225,745
588,787.27856120947808,716
589,787.37300681246359,725
590,787.46745030195518,729
591,787.56189167672653,732
592,787.65633093555118,760
593,787.75076807720279,737
594,787.84520310045525,733
595,787.9396360040821,720
596,788.03406678685735,724
597,788.12849544755477,709
598,788.22292198494813,753
599,788.31734639781155,722
600,788.4117686849188,721
601,788.50618884504411,730
602,788.60060687696136,717
603,788.69502277944468,721
604,788.78943655126818,743
605,788.88384819120608,737
606,788.97825769803251,718
607,789.07266507052179,724
608,789.16707030744806,737
609,789.261473407586,746
610,789.35587436970968,738
611,789.45027319259361,732
612,789.54466987501223,738
613,789.63906441574,732
614,789.73345681355158,735
615,789.82784706722134,740
616,789.92223517552418,732
617,790.01662113723455,738
618,790.111004951127,703
619,790.20538661597675,722
620,790.29976613055828,738
621,790.39414349364631,729
622,790.488518704016,731
623,790.58289176044207,750
624,790.67726266169961,737
625,790.77163140656353,731
626,790.86599799380883,742
627,790.96036242221066,736
628,791.054724690544,749
629,791.14908479758435,721
630,791.24344274210648,723
631,791.337798522886,768
632,791.43215213869814,753
633,791.52650358831806,738
634,791.62085287052139,712
635,791.71519998408326,720
636,791.80954492777937,738
637,791.90388770038521,736
638,791.99822830067615,741
639,792.092566727428,754
640,792.18690297941635,754
641,792.2812370554168,741
642,792.375568954205,763
643,792.469898674557,780
644,792.56422621524848,1071
645,792.65855157505518,2390
646,792.75287475275309,2410
647,792.84719574711823,1373
648,792.94151455692656,906
649,793.03583118095389,782
650,793.1301456179765,742
651,793.22445786677065,732
652,793.31876792611229,763
653,793.41307579477757,726
654,793.507381471543,743
655,793.60168495518462,753
656,793.695986244479,742
657,793.79028533820235,743
658,793.88458223513112,739
659,793.97887693404186,745
660,794.0731694337112,735
661,794.1674597329154,732
662,794.26174783043155,734
663,794.35603372503567,729
664,794.45031741550486,751
665,794.54459890061594,716
666,794.63887817914554,742
667,794.73315524987049,742
668,794.82743011156776,759
669,794.92170276301431,737
670,795.015973202987,738
671,795.1102414302627,744
672,795.20450744361892,739
673,795.29877124183236,747
674,795.39303282368041,740
675,795.48729218794028,762
676,795.581549333389,746
677,795.67580425880419,747
678,795.77005696296294,765
679,795.86430744464269,771
680,795.95855570262086,735
681,796.05280173567508,731
682,796.14704554258276,764
683,796.24128712212155,749
684,796.335526473069,753
685,796.42976359420265,756
686,796.52399848430059,746
687,796.61823114214019,729
688,796.71246156649943,749
689,796.80668975615629,751
690,796.90091570988852,734
691,796.99513942647422,780
692,797.089360904691,748
693,797.18358014331739,744
694,797.27779714113137,744
695,797.37201189691075,759
696,797.46622440943418,732
697,797.56043467747952,733
698,797.65464269982533,753
699,797.74884847524982,738
700,797.84305200253118,739
701,797.93725328044832,749
702,798.03145230777943,762
703,798.12564908330285,738
704,798.21984360579745,778
705,798.31403587404179,857
706,798.40822588681453,1452
707,798.50241364289423,1759
708,798.59659914106,1258
709,798.69078238009035,928
710,798.78496335876412,786
711,798.8791420758605,785
712,798.97331853015839,784
713,799.06749272043646,778
714,799.16166464547427,893
715,799.2558343040505,1732
716,799.35000169494469,2624
717,799.44416681693576,1754
718,799.53832966880316,1111
719,799.63249024932588,871
720,799.72664855728374,783
721,799.82080459145584,771
722,799.91495835062165,770
723,800.00910983356084,749
724,800.10325903905277,754
725,800.19740596587724,756
726,800.29155061281369,768
727,800.385692978642,753
728,800.479833062142,771
729,800.57397086209312,780
730,800.66810637727565,761
731,800.76223960646928,761
732,800.85637054845392,753
733,800.95049920200972,744
734,801.0446255659167,775
735,801.138749638955,761
736,801.23287141990454,741
737,801.32699090754591,761
738,801.42110810065913,762
739,801.51522299802446,776
740,801.60933559842249,753
741,801.7034459006336,748
742,801.797553903438,770
743,801.8916596056165,746
744,801.98576300594948,774
745,802.07986410321769,755
746,802.17396289620172,744
747,802.26805938368238,768
748,802.3621535644404,774
749,802.45624543725648,784
750,802.55033500091167,793
751,802.644422254187,785
752,802.73850719586312,755
753,802.83258982472137,741
754,802.92667013954247,764
755,803.020748139108,760
756,803.114823822199,790
757,803.20889718759656,776
758,803.30296823408219,794
759,803.39703696043716,782
760,803.49110336544265,763
761,803.58516744788051,786
762,803.67922920653211,757
763,803.77328864017875,762
764,803.86734574760249,774
765,803.96140052758449,720
766,804.055452978907,730
767,804.14950310035147,761
768,804.24355089069968,790
769,804.33759634873377,760
770,804.43163947323546,750
771,804.52568026298661,758
772,804.61971871676974,785
773,804.71375483336658,741
774,804.80778861155932,769
775,804.90182005013,772
776,804.99584914786135,764
777,805.08987590353536,740
778,805.18390031593435,773
779,805.27792238384086,793
780,805.37194210603718,766
781,805.46595948130619,765
782,805.55997450843017,813
783,805.65398718619178,762
784,805.74799751337378,788
785,805.842005488759,789
786,805.93601111113,771
787,806.0300143792698,757
788,806.12401529196131,779
789,806.21801384798755,750
790,806.31201004613138,790
791,806.40600388517589,805
792,806.4999953639043,785
793,806.59398448109982,796
794,806.68797123554555,816
795,806.78195562602491,839
796,806.87593765132112,793
797,806.96991731021774,798
798,807.063894601498,775
799,807.15786952394569,782
800,807.25184207634425,799
801,807.34581225747729,793
802,807.43978006612849,794
803,807.53374550108163,770
804,807.62770856112036,777
805,807.72166924502892,784
806,807.81562755159075,796
807,807.90958347959008,828
808,808.00353702781092,941
809,808.09748819503727,1857
810,808.19143698005325,3813
811,808.285383381643,2830
812,808.379327398591,1642
813,808.47326902968132,1095
814,808.5672082736985,861
815,808.66114512942681,830
816,808.75507959565073,812
817,808.84901167115493,785
818,808.94294135472376,795
819,809.036868645142,851
820,809.13079354119452,986
821,809.22471604166583,2314
822,809.31863614534075,7725
823,809.4125538510043,7949
824,809.50646915744142,3747
825,809.600382063437,2076
826,809.69429256777607,1218
827,809.78820066924379,898
828,809.88210636662529,840
829,809.97600965870572,820
830,810.06991054427056,807
831,810.163809022105,806
832,810.25770509099459,788
833,810.35159874972453,800
834,810.44548999708059,794
835,810.53937883184813,801
836,810.63326525281286,782
837,810.72714925876051,784
838,810.82103084847665,766
839,810.91491002074736,782
840,811.00878677435833,820
841,811.1026611080955,806
842,811.19653302074482,786
843,811.29040251109257,783
844,811.38426957792444,799
845,811.47813422002685,770
846,811.571996436186,779
847,811.66585622518812,807
848,811.75971358581955,798
849,811.85356851686686,762
850,811.94742101711608,791
851,812.0412710853542,788
852,812.13511872036747,811
853,812.22896392094276,834
854,812.32280668586657,800
855,812.41664701392574,787
856,812.510484903907,782
857,812.60432035459735,781
858,812.69815336478371,815
859,812.791983933253,800
860,812.88581205879234,795
861,812.97963774018876,798
862,813.07346097622963,801
863,813.16728176570189,790
864,813.26110010739308,792
865,813.3549160000905,798
866,813.44872944258145,816
867,813.54254043365358,796
868,813.63634897209442,790
869,813.73015505669139,799
870,813.82395868623234,832
871,813.91775985950494,828
872,814.01155857529693,793
873,814.10535483239607,816
874,814.19914862959058,812
875,814.29293996566821,809
876,814.38672883941683,808
877,814.48051524962489,801
878,814.57429919508036,811
879,814.66808067457146,799
880,814.76185968688651,800
881,814.85563623081384,810
882,814.94941030514167,807
883,815.04318190865877,820
884,815.13695104015346,807
885,815.23071769841442,796
886,815.32448188223032,792
887,815.41824359038981,807
888,815.51200282168168,813
889,815.60575957489482,828
890,815.6995138488179,824
891,815.79326564224016,847
892,815.88701495395071,822
893,815.98076178273823,802
894,816.07450612739217,844
895,816.16824798670189,803
896,816.26198735945627,786
897,816.35572424444479,815
898,816.449458640457,816
899,816.54319054628229,808
900,816.6369199607102,822
901,816.73064688253032,818
902,816.82437131053223,817
903,816.91809324350572,805
904,817.01181268024072,820
905,817.10552961952681,817
906,817.199244060154,794
907,817.29295600091234,823
908,817.38666544059186,829
909,817.48037237798258,825
910,817.57407681187487,810
911,817.66777874105867,769
912,817.76147816432456,811
913,817.85517508046269,794
914,817.94886948826365,815
915,818.04256138651783,852
916,818.13625077401582,823
917,818.22993764954822,827
918,818.32362201190574,844
919,818.4173038598791,817
920,818.51098319225912,825
921,818.60466000783686,831
922,818.69833430540291,803
923,818.79200608374856,810
924,818.88567534166486,818
925,818.979342077943,814
926,819.07300629137387,824
927,819.16666798074914,812
928,819.26032714486,844
929,819.35398378249772,808
930,819.44763789245394,851
931,819.54128947352012,818
932,819.63493852448789,825
933,819.72858504414887,834
934,819.8222290312948,826
935,819.91587048471763,807
936,820.00950940320911,809
937,820.1031457855612,806
938,820.19677963056563,794
939,820.290410937015,841
940,820.384039703701,831
941,820.477665929416,831
942,820.57128961295234,832
943,820.664910753102,818
944,820.75852934865793,818
945,820.85214539841218,806
946,820.94575890115743,835
947,821.03936985568623,817
948,821.13297826079133,826
949,821.22658411526538,808
950,821.32018741790114,839
951,821.41378816749159,830
952,821.50738636282961,835
953,821.60098200270829,814
954,821.69457508592063,833
955,821.78816561125961,845
956,821.88175357751868,849
957,821.97533898349116,843
958,822.06892182797,828
959,822.16250210974908,844
960,822.25607982762165,843
961,822.34965498038116,856
962,822.44322756682141,859
963,822.536797585736,815
964,822.63036503591866,854
965,822.72392991616334,832
966,822.81749222526366,868
967,822.91105196201386,867
968,823.00460912520782,841
969,823.09816371363979,841
970,823.19171572610367,852
971,823.28526516139391,869
972,823.37881201830453,831
973,823.47235629563033,848
974,823.56589799216545,843
975,823.65943710670444,855
976,823.75297363804191,849
977,823.84650758497253,837
978,823.940038946291,855
979,824.03356772079189,915
980,824.12709390727048,1255
981,824.22061750452144,1975
982,824.31413851133971,1691
983,824.40765692652053,1190
984,824.50117274885883,995
985,824.59468597715,922
986,824.68819661018927,854
987,824.781704646772,847
988,824.87521008569342,829
989,824.96871292574917,890
990,825.062213165735,830
991,825.155710804446,869
992,825.24920584067831,851
993,825.3426982732276,865
994,825.43618810088981,866
995,825.52967532246043,855
996,825.62315993673587,852
